[2025-09-17 21:32:45] iter 352, accuracy: 0.9310287168012992
[2025-09-17 21:32:45] iter 353, accuracy: 0.8050721694262236
[2025-09-17 21:32:45] iter 354, accuracy: 0.9055050714528106
[2025-09-17 21:32:45] iter 355, accuracy: 0.8831929951018131
[2025-09-17 21:32:45] iter 356, accuracy: 0.8786794544976505
[2025-09-17 21:32:45] iter 357, accuracy: 0.8514056387865406
[2025-09-17 21:32:45] iter 358, accuracy: 0.8483344358848506
[2025-09-17 21:32:45] iter 359, accuracy: 0.6160794257528162
[2025-09-17 21:32:45] iter 360, accuracy: 0.7539255360592784
[2025-09-17 21:32:45] iter 361, accuracy: 0.8512772897461092
[2025-09-17 21:32:46] iter 362, accuracy: 0.48154598650639263
[2025-09-17 21:32:46] iter 363, accuracy: 0.8812268621353468
[2025-09-17 21:32:46] iter 364, accuracy: 0.8385548682308416
[2025-09-17 21:32:46] iter 365, accuracy: 0.7730593452148352
[2025-09-17 21:32:46] iter 366, accuracy: 0.7029981643891493
[2025-09-17 21:32:46] iter 367, accuracy: 0.8269723387328546
[2025-09-17 21:32:46] iter 368, accuracy: 0.8901428452723574
[2025-09-17 21:32:46] iter 369, accuracy: 0.9537012711436248
[2025-09-17 21:32:46] iter 370, accuracy: 0.9262592817538838
[2025-09-17 21:32:46] iter 371, accuracy: 0.9142784608131139
[2025-09-17 21:32:46] iter 372, accuracy: 0.9285221739479904
[2025-09-17 21:32:46] iter 373, accuracy: 0.8171722302362906
[2025-09-17 21:32:46] iter 374, accuracy: 0.5809049651635995
[2025-09-17 21:32:46] iter 375, accuracy: 0.8947992534024996
[2025-09-17 21:32:46] iter 376, accuracy: 0.6259816098991015
[2025-09-17 21:32:46] iter 377, accuracy: 0.7724855824927538
[2025-09-17 21:32:46] iter 378, accuracy: 0.8156622556403454
[2025-09-17 21:32:46] iter 379, accuracy: 0.6400998086078991
[2025-09-17 21:32:46] iter 380, accuracy: 0.9062347929596546
[2025-09-17 21:32:46] iter 381, accuracy: 0.8342344362289222
[2025-09-17 21:32:46] iter 382, accuracy: 0.9046612647882268
[2025-09-17 21:32:46] iter 383, accuracy: 0.6280349132657861
[2025-09-17 21:32:46] iter 384, accuracy: 0.9126001982892531
[2025-09-17 21:32:46] iter 385, accuracy: 0.4457002954149972
[2025-09-17 21:32:46] iter 386, accuracy: 0.8639327527061698
[2025-09-17 21:32:46] iter 387, accuracy: 0.9722172141492081
[2025-09-17 21:32:47] iter 388, accuracy: 0.7024803769914614
[2025-09-17 21:32:47] iter 389, accuracy: 0.9265812673589479
[2025-09-17 21:32:47] iter 390, accuracy: 0.8687532511301108
[2025-09-17 21:32:47] iter 391, accuracy: 0.9385485934656066
[2025-09-17 21:32:47] iter 392, accuracy: 0.9357598218753849
[2025-09-17 21:32:47] iter 393, accuracy: 0.69617298899529
[2025-09-17 21:32:47] iter 394, accuracy: 0.821694179348293
[2025-09-17 21:32:47] iter 395, accuracy: 0.7511221533334331
[2025-09-17 21:32:47] iter 396, accuracy: 0.6084057473823277
[2025-09-17 21:32:47] iter 397, accuracy: 0.7971659861429239
[2025-09-17 21:32:47] iter 398, accuracy: 0.9076310155450057
[2025-09-17 21:32:47] iter 399, accuracy: 0.850390158922574
[2025-09-17 21:32:47] iter 400, accuracy: 0.9023083095869768
[2025-09-17 21:32:47] iter 401, accuracy: 0.7931974953250721
[2025-09-17 21:32:47] iter 402, accuracy: 0.6163183304305312
[2025-09-17 21:32:47] iter 403, accuracy: 0.763225396350583
[2025-09-17 21:32:47] iter 404, accuracy: 0.9645943128097458
[2025-09-17 21:32:47] iter 405, accuracy: 0.8474473186782411
[2025-09-17 21:32:47] iter 406, accuracy: 0.7065494711818723
[2025-09-17 21:32:47] iter 407, accuracy: 0.6783833884019252
[2025-09-17 21:32:47] iter 408, accuracy: 0.9276236516729925
[2025-09-17 21:32:47] iter 409, accuracy: 0.8626954491987816
[2025-09-17 21:32:47] iter 410, accuracy: 0.8140682801543925
[2025-09-17 21:32:47] iter 411, accuracy: 0.8848746890863863
